1614782137.312406,0
1614782137.418362,21
1614782137.522532,47
1614782137.626887,80
1614782137.731050,100
1614782137.837403,100
1614782137.943441,100
1614782138.046056,99
1614782138.150497,100
1614782138.254595,99
1614782138.360485,100
1614782138.464666,97
1614782138.569471,100
1614782138.685255,97
1614782138.788496,96
1614782138.893084,99
1614782138.998930,96
1614782139.103498,98
1614782139.207565,99
1614782139.312967,100
1614782139.417277,99
1614782139.519604,100
1614782139.625020,100
1614782139.730285,99
1614782139.834698,99
1614782139.940002,98
1614782140.045572,100
1614782140.151420,99
1614782140.255305,98
1614782140.362249,99
1614782140.469257,98
1614782140.572714,97
1614782140.678743,100
1614782140.784348,98
1614782140.888615,98
1614782140.994056,99
1614782141.099206,90
1614782141.204380,38
1614782141.306944,70
1614782141.412954,76
1614782141.517199,78
1614782141.621327,78
1614782141.729869,77
1614782141.833435,78
1614782141.938453,78
1614782142.045617,78
1614782142.150171,79
1614782142.253931,78
1614782142.360897,78
1614782142.465099,79
1614782142.568274,80
1614782142.670727,80
1614782142.775873,80
1614782142.880269,81
1614782142.985867,81
1614782143.091399,81
1614782143.195895,81
1614782143.302118,81
1614782143.407693,82
1614782143.512338,81
1614782143.616631,82
1614782143.723238,83
1614782143.828506,83
1614782143.933516,82
1614782144.038174,83
1614782144.144436,83
1614782144.248170,84
1614782144.353410,84
1614782144.457834,85
1614782144.562089,85
1614782144.667890,86
1614782144.773760,88
1614782144.878732,88
1614782144.983382,88
1614782145.088372,88
1614782145.193978,89
1614782145.298202,89
1614782145.402576,89
1614782145.509602,89
1614782145.616494,90
1614782145.725603,89
1614782145.828474,87
1614782145.933117,90
1614782146.039044,88
1614782146.144557,89
1614782146.248311,87
1614782146.353471,88
1614782146.457515,89
1614782146.562217,90
1614782146.667748,90
1614782146.773145,90
1614782146.878634,90
1614782146.983621,91
1614782147.088536,90
1614782147.193369,90
1614782147.297717,91
1614782147.403016,90
1614782147.509001,89
1614782147.613020,89
1614782147.718208,90
1614782147.825653,90
1614782147.930575,90
1614782148.037361,90
1614782148.141721,91
1614782148.244858,91
1614782148.349930,92
1614782148.453901,92
1614782148.557681,92
1614782148.662842,91
1614782148.767592,93
1614782148.871646,93
1614782148.974434,93
1614782149.078956,93
1614782149.183982,93
1614782149.289389,94
1614782149.395084,94
1614782149.500844,94
1614782149.605802,94
1614782149.712116,95
1614782149.817024,95
1614782149.922019,95
1614782150.026986,94
1614782150.131388,95
1614782150.235478,95
1614782150.342534,95
1614782150.447595,95
1614782150.552652,95
1614782150.657622,97
1614782150.761600,98
