1614785061.924793,0
1614785062.030901,18
1614785062.138926,44
1614785062.244808,79
1614785062.350124,112
1614785062.458644,139
1614785062.565032,168
1614785062.672199,197
1614785062.780063,225
1614785062.886282,253
1614785062.992457,282
1614785063.099944,311
1614785063.204790,339
1614785063.310182,370
1614785063.417520,399
1614785063.524538,428
1614785063.632260,457
1614785063.737949,486
1614785063.843239,515
1614785063.949169,543
1614785064.057406,572
1614785064.163641,600
1614785064.270147,629
1614785064.375529,657
1614785064.479850,686
1614785064.583085,714
1614785064.689142,743
1614785064.797419,771
1614785064.900481,800
1614785065.008994,829
1614785065.114831,858
1614785065.217752,851
1614785065.324355,824
1614785065.430019,943
1614785065.536608,972
1614785065.641217,1000
1614785065.746857,1000
1614785065.852554,1000
1614785065.959928,1000
1614785066.066044,1000
1614785066.174503,982
1614785066.280950,954
1614785066.386373,927
1614785066.494073,899
1614785066.601643,872
1614785066.706888,844
1614785066.810797,816
1614785066.916912,788
1614785067.025210,761
1614785067.132056,733
1614785067.237217,706
1614785067.342740,987
1614785067.448393,960
1614785067.556132,932
1614785067.660773,905
1614785067.768935,877
1614785067.876478,850
1614785067.983877,822
1614785068.091609,796
1614785068.200024,766
1614785068.306044,739
1614785068.414135,709
1614785068.521724,682
1614785068.627756,654
1614785068.732934,627
1614785068.840312,600
1614785068.945618,574
1614785069.050898,546
1614785069.158692,519
1614785069.264488,995
1614785069.369695,975
1614785069.477110,990
1614785069.585657,1000
1614785069.692987,1000
1614785069.800382,1000
1614785069.906618,999
1614785070.014300,1000
1614785070.123166,1000
1614785070.227376,1000
1614785070.333980,982
1614785070.440586,955
1614785070.549074,928
1614785070.653193,901
1614785070.758630,874
1614785070.867030,847
1614785070.975377,820
1614785071.081435,984
1614785071.187134,957
1614785071.289897,930
1614785071.396659,903
1614785071.502113,876
1614785071.608691,849
1614785071.715406,821
1614785071.821064,794
1614785071.927283,767
1614785072.033187,739
1614785072.141752,712
1614785072.249400,684
1614785072.358266,656
1614785072.464810,628
1614785072.573003,601
1614785072.680956,574
1614785072.788589,547
1614785072.896037,520
