PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=190 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=279 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=378 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=461 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=518 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=791 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=813 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=890 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=952 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1065 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1131 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1133 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1038 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1120 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1136 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1211 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1174 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1128 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1085 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=1118 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1073 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=1040 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=1008 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=918 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=872 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=769 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=746 ms
